r,pt,y,steps,CapCost
4,1,2042,3,2303920.0
4,1,2043,3,2229600.0
4,1,2044,3,2155280.0
4,1,2045,3,2080960.0
4,1,2046,3,2006640.0
4,1,2047,3,1932320.0
4,1,2048,3,1858000.0
4,1,2049,3,1783680.0
4,1,2050,3,1709360.0
4,3,2023,3,757000.0
4,3,2024,3,741860.0
4,3,2025,3,726720.0
4,3,2026,3,711580.0
4,3,2027,3,696440.0
4,3,2028,3,681300.0
4,3,2029,3,666160.0
4,3,2030,3,651020.0
4,3,2031,3,635880.0
4,3,2032,3,620740.0
4,3,2033,3,605600.0
4,3,2034,3,590460.0
4,3,2035,3,575320.0
4,3,2036,3,560180.0
4,3,2037,3,545040.0
4,3,2038,3,529900.0
4,3,2039,3,514760.0
4,3,2040,3,499620.0
4,3,2041,3,484480.0
4,3,2042,3,469340.0
4,3,2043,3,454200.0
4,3,2044,3,439060.0
4,3,2045,3,423920.0
4,3,2046,3,408780.0
4,3,2047,3,393640.0
4,3,2048,3,378500.0
4,3,2049,3,363360.0
4,3,2050,3,348220.0
4,4,2023,3,786000.0
4,4,2024,3,770280.0
4,4,2025,3,754560.0
4,4,2026,3,738840.0
4,4,2027,3,723120.0
4,4,2028,3,707400.0
4,4,2029,3,691680.0
4,4,2030,3,675960.0
4,4,2031,3,660240.0
4,4,2032,3,644520.0
4,4,2033,3,628800.0
4,4,2034,3,613080.0
4,4,2035,3,597360.0
4,4,2036,3,581640.0
4,4,2037,3,565920.0
4,4,2038,3,550200.0
4,4,2039,3,534480.0
4,4,2040,3,518760.0
4,4,2041,3,503040.0
4,4,2042,3,487320.0
4,4,2043,3,471600.0
4,4,2044,3,455880.0
4,4,2045,3,440160.0
4,4,2046,3,424440.0
4,4,2047,3,408720.0
4,4,2048,3,393000.0
4,4,2049,3,377280.0
4,4,2050,3,361560.0
4,6,2023,1,7477000.0
4,6,2024,1,7327460.0
4,6,2025,1,7177920.0
4,6,2026,1,7028380.0
4,6,2027,1,6878840.0
4,6,2028,1,6729300.0
4,6,2029,1,6579760.0
4,6,2030,1,6430220.0
4,6,2031,1,6280680.0
4,6,2032,1,6131140.0
4,6,2033,1,5981600.0
4,6,2034,1,5832060.0
4,6,2035,1,5682520.0
4,6,2036,1,5532980.0
4,6,2037,1,5383440.0
4,6,2038,1,5233900.0
4,6,2039,1,5084360.0
4,6,2040,1,4934820.0
4,6,2041,1,4785280.0
4,6,2042,1,4635740.0
4,6,2043,1,4486200.0
4,6,2044,1,4336660.0
4,6,2045,1,4187120.0
