r,pt,steps,FOMCost
11,2,1,5000.0
11,2,2,5000.0
11,2,3,5000.0
11,3,1,6900.0
11,3,2,6900.0
11,3,3,6900.0
11,4,1,12100.0
11,4,2,12100.0
11,4,3,12100.0
11,5,1,5000.0
11,6,1,156200.0
11,7,1,261200.0
11,8,1,150600.0
11,9,1,5000.0
11,10,1,33500.0
11,10,2,33500.0
11,11,1,5000.0
11,12,1,40000.0
11,13,1,154000.0
11,14,1,33100.0
11,15,1,20200.0
11,15,2,5000.0
12,1,1,61600.0
12,1,2,61600.0
12,1,3,61600.0
12,2,1,5000.0
12,2,2,5000.0
12,2,3,5000.0
12,3,1,6900.0
12,3,2,6900.0
12,3,3,6900.0
12,4,1,12100.0
12,4,2,12100.0
12,4,3,12100.0
12,5,1,5000.0
12,6,1,156200.0
12,7,1,261200.0
12,8,1,150600.0
12,9,1,5000.0
12,10,1,33500.0
12,10,2,33500.0
12,11,1,5000.0
12,12,1,40000.0
12,13,1,154000.0
12,14,1,33100.0
12,15,1,20200.0
12,15,2,5000.0
13,1,1,61600.0
13,1,2,61600.0
13,1,3,61600.0
13,2,1,5000.0
13,2,2,5000.0
13,2,3,5000.0
13,3,1,6900.0
13,3,2,6900.0
13,3,3,6900.0
13,4,1,12100.0
13,4,2,12100.0
13,4,3,12100.0
13,5,1,5000.0
13,6,1,156200.0
13,7,1,261200.0
13,8,1,150600.0
13,9,1,5000.0
13,10,1,33500.0
13,10,2,33500.0
13,11,1,5000.0
13,12,1,40000.0
13,13,1,154000.0
13,14,1,33100.0
13,15,1,20200.0
13,15,2,5000.0
14,1,1,61600.0
14,1,2,61600.0
14,1,3,61600.0
14,2,1,5000.0
14,2,2,5000.0
14,2,3,5000.0
14,3,1,6900.0
14,3,2,6900.0
14,3,3,6900.0
14,4,1,12100.0
14,4,2,12100.0
14,4,3,12100.0
14,5,1,5000.0
14,6,1,156200.0
14,7,1,261200.0
14,8,1,150600.0
14,9,1,5000.0
14,10,1,33500.0
14,10,2,33500.0
14,11,1,5000.0
14,12,1,40000.0
14,13,1,154000.0
14,14,1,33100.0
14,15,1,20200.0
14,15,2,5000.0
15,1,1,61600.0
15,1,2,61600.0
15,1,3,61600.0
15,2,1,5000.0
15,2,2,5000.0
15,2,3,5000.0
15,3,1,6900.0
15,3,2,6900.0
15,3,3,6900.0
15,4,1,12100.0
15,4,2,12100.0
15,4,3,12100.0
15,5,1,5000.0
15,6,1,156200.0
15,7,1,261200.0
15,8,1,150600.0
15,9,1,5000.0
15,10,1,33500.0
15,10,2,33500.0
15,11,1,5000.0
15,12,1,40000.0
15,13,1,154000.0
15,14,1,33100.0
15,15,1,20200.0
15,15,2,5000.0
16,1,1,61600.0
16,1,2,61600.0
16,1,3,61600.0
16,2,1,5000.0
16,2,2,5000.0
16,2,3,5000.0
16,3,1,6900.0
16,3,2,6900.0
16,3,3,6900.0
16,4,1,12100.0
16,4,2,12100.0
16,4,3,12100.0
