in.comstock_building_type,equipment_type,enduse_cat
largehotel,out.electricity.heat_recovery.energy_consumption.kwh,com_heating
largeoffice,out.electricity.heat_recovery.energy_consumption.kwh,com_heating
mediumoffice,out.electricity.heat_recovery.energy_consumption.kwh,com_heating
outpatient,out.electricity.heat_recovery.energy_consumption.kwh,com_heating
primaryschool,out.electricity.heat_recovery.energy_consumption.kwh,com_heating
quickservicerestaurant,out.electricity.heat_recovery.energy_consumption.kwh,com_heating
retailstandalone,out.electricity.heat_recovery.energy_consumption.kwh,com_heating
retailstripmall,out.electricity.heat_recovery.energy_consumption.kwh,com_heating
secondaryschool,out.electricity.heat_recovery.energy_consumption.kwh,com_heating
smallhotel,out.electricity.heat_recovery.energy_consumption.kwh,com_heating
smalloffice,out.electricity.heat_recovery.energy_consumption.kwh,com_heating
warehouse,out.electricity.heat_recovery.energy_consumption.kwh,com_heating
fullservicerestaurant,out.electricity.heating.energy_consumption.kwh,com_heating
hospital,out.electricity.heating.energy_consumption.kwh,com_heating
largehotel,out.electricity.heating.energy_consumption.kwh,com_heating
largeoffice,out.electricity.heating.energy_consumption.kwh,com_heating
mediumoffice,out.electricity.heating.energy_consumption.kwh,com_heating
outpatient,out.electricity.heating.energy_consumption.kwh,com_heating
primaryschool,out.electricity.heating.energy_consumption.kwh,com_heating
quickservicerestaurant,out.electricity.heating.energy_consumption.kwh,com_heating
retailstandalone,out.electricity.heating.energy_consumption.kwh,com_heating
retailstripmall,out.electricity.heating.energy_consumption.kwh,com_heating
secondaryschool,out.electricity.heating.energy_consumption.kwh,com_heating
smallhotel,out.electricity.heating.energy_consumption.kwh,com_heating
smalloffice,out.electricity.heating.energy_consumption.kwh,com_heating
warehouse,out.electricity.heating.energy_consumption.kwh,com_heating
