in.geometry_building_type_recs,equipment_type,enduse_cat
single-family detached,out.electricity.lighting_exterior.energy_consumption.kwh,res_other
single-family detached,out.electricity.lighting_garage.energy_consumption.kwh,res_other
single-family detached,out.electricity.lighting_interior.energy_consumption.kwh,res_other
mobile home,out.electricity.refrigerator.energy_consumption.kwh,res_refrigeration
multi-family with 2 - 4 units,out.electricity.refrigerator.energy_consumption.kwh,res_refrigeration
multi-family with 5plus units,out.electricity.refrigerator.energy_consumption.kwh,res_refrigeration
single-family attached,out.electricity.refrigerator.energy_consumption.kwh,res_refrigeration
single-family detached,out.electricity.refrigerator.energy_consumption.kwh,res_refrigeration
mobile home,out.electricity.heating.energy_consumption.kwh,res_heating
mobile home,out.electricity.heating_fans_pumps.energy_consumption.kwh,res_heating
mobile home,out.electricity.heating_hp_bkup.energy_consumption.kwh,res_heating
multi-family with 2 - 4 units,out.electricity.heating.energy_consumption.kwh,res_heating
multi-family with 2 - 4 units,out.electricity.heating_fans_pumps.energy_consumption.kwh,res_heating
multi-family with 2 - 4 units,out.electricity.heating_hp_bkup.energy_consumption.kwh,res_heating
multi-family with 5plus units,out.electricity.heating.energy_consumption.kwh,res_heating
multi-family with 5plus units,out.electricity.heating_fans_pumps.energy_consumption.kwh,res_heating
multi-family with 5plus units,out.electricity.heating_hp_bkup.energy_consumption.kwh,res_heating
single-family attached,out.electricity.heating.energy_consumption.kwh,res_heating
single-family attached,out.electricity.heating_fans_pumps.energy_consumption.kwh,res_heating
single-family attached,out.electricity.heating_hp_bkup.energy_consumption.kwh,res_heating
single-family detached,out.electricity.heating.energy_consumption.kwh,res_heating
single-family detached,out.electricity.heating_fans_pumps.energy_consumption.kwh,res_heating
single-family detached,out.electricity.heating_hp_bkup.energy_consumption.kwh,res_heating
mobile home,out.electricity.hot_water.energy_consumption.kwh,res_waterheater
multi-family with 2 - 4 units,out.electricity.hot_water.energy_consumption.kwh,res_waterheater
multi-family with 5plus units,out.electricity.hot_water.energy_consumption.kwh,res_waterheater
single-family attached,out.electricity.hot_water.energy_consumption.kwh,res_waterheater
single-family detached,out.electricity.hot_water.energy_consumption.kwh,res_waterheater
